turn number,turn,node number,decition time,move,
0,white,9627,0.00554004171863198280,White pawn from E2 to E3,
1,black,13708,0.00249468116089701653,Black pawn from G7 to G5,
2,white,31185,0.00610692240297794342,White knight from G1 to F3,
3,black,18075,0.00363576132804155350,Black pawn from F7 to F6,
4,white,40778,0.00888343108817934990,White pawn from H2 to H4,
5,black,86434,0.01904588332399725914,Black bishop from F8 to H6,
6,white,1025964,0.24318265868350863457,White pawn from G2 to G4,
7,black,339847,0.08363725058734416962,Black pawn from C7 to C6,
8,white,1439607,0.35650170734152197838,White bishop from F1 to G2,
9,black,390349,0.09899244084954261780,Black pawn from E7 to E5,
10,white,30063982,7.89209922077134251595,White pawn from H4 to H5,
11,black,133665,0.03584629623219370842,Black pawn from D7 to D6,
12,white,2501844,0.65179296163842082024,White knight from F3 to H2,
13,black,152831,0.04025704273954033852,Black king from E8 to F7,
14,white,339370,0.08778546517714858055,White queen from D1 to E2,
15,black,299693,0.07584751676768064499,Black queen from D8 to A5,
16,white,681909,0.18144838511943817139,White queen from E2 to F3,
17,black,714273,0.18258225033059716225,Black knight from B8 to D7,
18,white,1991778,0.50768045475706458092,White rook from H1 to G1,
19,black,709287,0.18398852087557315826,Black rook from A8 to B8,
20,white,1148990,0.29435247601941227913,White king from E1 to D1,
21,black,921789,0.23988004913553595543,Black king from F7 to E7,
22,white,2089110,0.51521672680974006653,White king from D1 to E2,
23,black,3294650,0.84352519595995545387,Black queen from A5 to A6,
24,white,56795,0.01444339519366621971,White king from E2 to D1,
25,black,639814,0.17287565395236015320,Black king from E7 to E8,
26,white,9324917,2.41132085118442773819,White bishop from G2 to F1,
27,black,489526,0.12842592829838395119,Black queen from A6 to B6,
28,white,2455931,0.61557027697563171387,White bishop from F1 to D3,
29,black,919221,0.23658871930092573166,Black knight from D7 to C5,
30,white,27135966,7.20070504304021596909,White bishop from D3 to E2,
31,black,1992142,0.54187244689092040062,Black knight from C5 to D7,
32,white,2298641,0.57781638344749808311,White queen from F3 to F5,
33,black,4410256,1.14958549570292234421,Black pawn from A7 to A5,
34,white,5687465,1.44422820629552006721,White queen from F5 to E6,
35,black,87491,0.02319040382280945778,Black king from E8 to D8,
36,white,807565,0.20295795658603310585,White queen from E6 to D6,
37,black,1483091,0.38733125105500221252,Black pawn from C6 to C5,
38,white,503187,0.12644915049895644188,White queen from D6 to D5,
39,black,1604455,0.43358714040368795395,Black bishop from H6 to G7,
40,white,849605,0.21187212178483605385,White queen from D5 to H1,
41,black,481414,0.12419020384550094604,Black knight from G8 to E7,
42,white,207482,0.04987458232790231705,White pawn from B2 to B3,
43,black,439864,0.11096951551735401154,Black bishop from G7 to H6,
44,white,821670,0.20853276830166578293,White pawn from C2 to C4,
45,black,461951,0.11860555456951260567,Black rook from H8 to F8,
46,white,2600860,0.64746226137503981590,White queen from H1 to G2,
47,black,658548,0.16362495766952633858,Black king from D8 to E8,
48,white,1816445,0.43634162750095129013,White queen from G2 to H3,
49,black,214867,0.05520742852240800858,Black queen from B6 to A6,
50,white,449360,0.11288613406941294670,White knight from B1 to C3,
51,black,569240,0.14346017129719257355,Black knight from D7 to B6,
52,white,1429825,0.37083821557462215424,White rook from G1 to F1,
53,black,758127,0.20119785005226731300,Black knight from E7 to C6,
54,white,922476,0.24273462360724806786,White bishop from C1 to A3,
55,black,7518061,1.94372119754552841187,Black knight from B6 to D7,
56,white,2356525,0.61576215038076043129,White king from D1 to E1,
57,black,8197127,2.08302107034251093864,Black knight from C6 to A7,
58,white,2574226,0.66514307819306850433,White knight from C3 to D1,
59,black,7035174,1.69767787214368581772,Black rook from F8 to H8,
60,white,1385917,0.35237604659050703049,White queen from H3 to F3,
61,black,4438596,1.06722048623487353325,Black rook from H8 to F8,
62,white,10824117,2.64545655157417058945,White rook from F1 to G1,
63,black,19767089,4.65826509194448590279,Black rook from F8 to H8,
64,white,4562980,1.11203946685418486595,White queen from F3 to D5,
65,black,9496780,2.34937510592862963676,Black queen from A6 to B6,
66,white,9776222,2.37445338442921638489,White queen from D5 to F3,
67,black,11758711,2.77202872233465313911,Black knight from D7 to F8,
68,white,226309719,54.02166470792144536972,White rook from G1 to G2,
69,black,114419596,26.59338752226904034615,Black king from E8 to E7,
70,white,236857,0.06294863950461149216,White queen from F3 to H3,
