turn number,turn,node number,decition time,move,
0,white,229210,0.04169399943202733994,White pawn from E2 to E3,
1,black,619549,0.12166093103587627411,Black pawn from G7 to G5,
2,white,792492,0.16253979923203587532,White knight from G1 to F3,
3,black,1068027,0.23422027565538883209,Black pawn from F7 to F6,
4,white,633273,0.14075919892638921738,White knight from F3 to G5,
5,black,219498,0.05083027901127934456,Black bishop from F8 to H6,
6,white,411034,0.09611963992938399315,White queen from D1 to H5,
7,black,117992,0.02811958454549312592,Black king from E8 to F8,
8,white,2823264,0.67457748297601938248,White queen from H5 to F7,
9,black,0,0.00000124983489513397,Checkmate,
